,mem,int,tru,emp,aes,itt,cft,topic,img_index,mem-why,int-why,tru-why,emp-why,aes-why,itt-why,cft-why,chart_name
345,5,6,7,4,7,3,4,COVID,5,yes because it labelled,yes ,yesbecause it has the csc logo,yes becaquse all the information is there,yes ,no,it net time to read and understand,COVID-5
346,1,5,4,4,5,1,1,COVID,12,to much going on,explain the slow of the virus,could have been a student who made it,so country were not expl;ained,some what ,the is alot going on,confusing,COVID-12
347,7,5,7,7,1,7,7,COVID,1,clean and neat easy to read and remember,simple charts that have differnt information,yes csuseit was made my WHO organisation,yes every thing is explained,simple,since the separated the information to be able tho easyly read it,because it was published by a trust worth organisation,COVID-1
348,7,0,4,0,5,4,7,COVID,1,"There is just the different regions which are easily remembered and the scaling is consistent. 2,4,6,8,10 is easily remembered.",There is not enough data to know what was being measured so I don't know if the data obtained is interesting or not,The scaling can make it difficult to believe that the numbers are trustworthy,I am not sure what i have to empathize with if it doesn't specify what cases its for and whats the relation to the deaths,The colours used make it aesthetically pleasing,"I am not sure what intutition I am supposed to have about it, I am indifferent about it",It is easy to read and understand,COVID-1
349,1,4,5,4,4,0,2,COVID,8,There is a lot of numbers provided which makes it difficult to easily remember ,"I am not sure what to think of this chart, it its interesting in the sense that its about covid numbers but nothing else","There is a lot of numbers provided, how many people were tested, what the population is so it can be trusted because you can crosscheck the numbers and compare",I do not feel any empathy towards the study conducted so i cannot say i empathize with the chart,The colours used are just blend ,I am not sure what is supposed to make the chart intuitive,There is too many numbers i do not understand and the circles on the left for tested people doesn't make sense to me because they also provided another number for people tested in the middle ,COVID-8
350,4,4,4,1,4,5,4,COVID,9,It is easy to remember what is being reported about not what the numbers are,How the data is drafted makes it interesting,because the data is so closely packed its not easy to see if its trustworthy because the numbers are not explicitly provided,"I ddo not empathize with it, nothing in me was moved when I saw the numbers and what the information was about",The blue does not blend with the rest of the colours which somehow makes it less aesthetically pleasing,Just by looking at the way its drafted its easy to make a conclusion on the results,The information is so closely packed that is is not so easy to read and draw out a conclusion,COVID-9
351,7,7,7,6,6,6,7,COVID,10,"The information is clearly stated, well scaled, everything is easy to read","Its specifically about pediatric patients which is data that is not always put out there, also the fluctuation of the data makes it interesting",All the data that one needs to draw out a conclusion is clearly stated in this chart,Its about children so i do have empathy towards it,Maybe if the dark blue bsckground was changed to something lighter then it would be so much better,From what is provided one can easily use their intuition to make conclusion,I can read everything and understand what it means ,COVID-10
352,7,7,7,4,7,7,7,COVID,11,The colour coordination makes it easy to remember ,The difference is regions and how uneven it is between the north and south makes it interesting,"The is keys provided,numbers and report date. all information to support it is provided",I feel no empathy towards the study or date provided. I am just indifferent about it,The colour used and using the shades of one colour makes it pleasing to the eye,Easy to read just by looking at the different regions with the colours,"Easy to read, the data is clear and easy to understand",COVID-11
353,7,7,7,5,6,7,7,COVID,12,The plots made and the information provided about each country makes it easy to remember what it was about and what was the conclusion from it,"Its interesting how other countries are above the daily increase whilst others are below, it makes one wonder what other countries are doing that others are not, which makes it interesting","The scaling is not too wide so its easy to trust that the data is accurate, there is a plot of the daily increase which makes it easy to compare and conclusions are drawn on. each country",Some countries are highly affecyed whilst ithers are not which can make me empathize with countries that have not managed to slow the spread ,The way it is plotted and the colours used makes It pleasing to the eye,Easy to make own opinion on it based on your own intuition ,I can understand and read the information provided,COVID-12
354,1,6,7,5,7,6,6,HousePrice,3,there is so much information displayed on the chart,it explains variety of international price changes,it is sourced from the national database ,ues,because of various colors it catches the eye,because it serves as a graph that allows one to learn more about house prices,because of the source where it is coming from,HousePrice-3
355,1,1,5,4,1,2,1,HousePrice,4,it is too complex to remember.,it is hard to understand.,since it is coming from the bank of Canada then it appears to be trustworthy,it is hard to connect this graph with he audience ,it is difficult to read,it is difficult to understand ,i feel it could have been drawn or illustrated in a simpler way,HousePrice-4
356,7,7,2,7,7,6,7,HousePrice,5,it seems to less less complicated details ,it get to give stats about san diego in which i never known,i  am not certain about the source of the graph,it seems a less complex hence i am able to emphasize with it,it doesn't have complicated colors to mess up the understanding of one,one gets to learn more about factor of san diego home prices,it is simple yet effective to understand,HousePrice-5
357,6,6,7,6,6,7,6,HousePrice,6,"for each color that is provided on the side, you can relate to it on the map",it seems simple yet catching to the eye,"based on the source of the graph, one can trust it ",because i don't have to struggle to understand it,they did not over do it with complex colors for one to understand,it provides the stats in a way that one can understand,it is simple to understand,HousePrice-6
358,5,6,1,3,6,3,2,HousePrice,1,they did not complicate the colors of the graph,it teaches us about the price valuation of uk prices,there is source of the graph,"there exist mo source, which makes it hard for one   to emphasize with",the rainbow color used is not that difficult to understand,i cant trust it without the source of the stats,there is little information provided ,HousePrice-1
359,3,3,1,3,1,2,2,HousePrice,2,the usage of black and white color makes it hard for one to grasp fast,it cannot be remembered easily,there is no source of the graph,it is not easy to emphasize with something the does not have a reliable source,it is too complicated and not simple,there exist no source for one to relate to,it lack details that are important,HousePrice-2
360,5,1,7,1,1,4,2,HousePrice,5,Gives you a clear indication in percentage of increase and decrease,I have no interest in many bars,Gives website and source of information ,Im not in the market for a house,Basic colour and not eye catching,Neither agree or disagree ,To many bars in the cart,HousePrice-5
361,7,6,7,4,7,4,7,HousePrice,6,Colour code makes it easy to remember ,Knowing where its popular to buy a new house,Shows information source,Neither agree or disagree,Easily read n color pleasing to look at,Neither agree or disagree ,Easy to read,HousePrice-6
362,7,7,7,0,7,4,7,HousePrice,7,Easy to read an remember ,Information on housing prices across the globe ,Information source shown,Not relevant information to emphasize ,Simple lay out,Neither agree or disagree ,Simple lay out with relevant information ,HousePrice-7
363,2,7,7,4,4,4,7,HousePrice,8,Theres alot of information to grasp might remember one or two things,Eye catching colours an chart,Source information shown,Nit sufficient information ,Its okay could do with more simplicity ,Neither agree or disagree ,Sufficient information and information source shown,HousePrice-8
364,1,7,4,4,4,1,4,HousePrice,3,To much information,Intrested in housings prices in every country ,Uses only selected information to come up with chart,Prices are increasing rapidlyqqqq,Neither agree or disagree ,Using selective information ,Neither agree or disagree ,HousePrice-3
365,1,4,1,4,1,4,1,HousePrice,4,Colour coding is confusing ,Neither agree or disagree ,Only one source of information and its a bank,Neither agree or disagree ,Colour coding is off putting,Neither agree or disagree ,The colour coding is off putting,HousePrice-4
366,4,5,5,6,6,6,4,HousePrice,6,i think that i will remember the chart soon enough,i think it is a really important topic,the source is a trusted one,the chart is striking ,the chart is nice to see,i like that type of chart,i have seen charts like that before,HousePrice-6
367,6,6,6,5,3,5,0,HousePrice,7,i will remember the first place,i would have never guessed that peru was in the chart,the source seems legitimate,housing increases are a really important subjet,"not really, it looks like just another chart",it is really easy to read,"i don´t understand what confortable means in this context
",HousePrice-7
368,2,4,4,6,5,2,2,HousePrice,8,it seems confusing at first,the data in the charts is not that relevant,i don´t trust the source cited,not really since i don´t think it has enough clearness,"it looks nice, but does not really tell me much","this chart is not intuitive, one has to really look for the data to understand it",i don´t feel like this chart is easiliy readable,HousePrice-8
369,2,6,3,0,1,3,1,HousePrice,9,it´s really confusing,the data is interesting but confusing,i do not trust the source cited,i don´t really know what is trying to tell me,this chart is ugly ,i don not believe the chart is easily readable,i do not like this chart,HousePrice-9
370,1,1,1,1,1,1,1,HousePrice,4,i think this chart is not easily readable,the chart is unreadable,i do not trust the bank of canada,i do not understand the chart easily so i cannot empathize with it,the chart is ugly,really hard to read,"not really comfortable or unconfortable, just nothing",HousePrice-4
371,1,1,1,2,6,1,1,HousePrice,5,the chart is hard to read,not really presenting interesting data,Not trusting WolfStreet ,Cannot really do anything with this chart,the chart is not aesthetically designed,i do not think is intuitive at all,not really confortable with anything in the chart,HousePrice-5
372,0,0,0,0,0,4,5,COVID,6,is not that easy to remember because is has few information on it,the different colours makes it interesting,seems to be easy to read,it is simple to understand it,the colors makes it pleasing,it is simple to read,is is simple to read,COVID-6
373,0,0,0,0,0,0,0,COVID,7,the is not a lot of information so it makes it easy to remember,the colors are interesting,it is simple to read through it,easy to read and understand,the colors looks pleasing,it is simple to read through,the information clearly displays,COVID-7
374,0,0,0,5,5,4,5,COVID,8,easy to read and the is less information,the size of the circles makes it interesting,easy to and clearly showing all information,it is simple to read,the colors and circles,it is simple to read ,clearly showing information,COVID-8
375,3,5,3,5,5,3,4,COVID,3,too much data om it so is hard to remember,the colors look and shape looks interesting,too much data and information,the data is explaining all the information,the colors and shape,is is not easy to read ,it has enough information,COVID-3
376,6,6,6,6,6,5,5,COVID,4,less data so it is easy to remember,the colors loos interesting,can easily see all the data,simple and easy to read through,the colors looks good,easy to read it,the shape and color looks good,COVID-4
377,5,5,5,5,6,4,5,COVID,5,less data makes it easy to remember,the shape and color,clearly can read the data,easy to read,the shape and the color,it is simple to read,can read through it,COVID-5
378,3,6,6,6,7,2,2,GlobalWarming,3,It's quite confusing,It is interesting but not easy to decipher straightaway ,Looks legit,It's something that affects us all,The colours are nice,Quite confusing ,Confusing,GlobalWarming-3
379,7,7,7,7,6,7,6,GlobalWarming,10,"Yes, the heat map makes it easier to retain",It's interesting to see how much it varies from country to country ,Seems to be a reputable source,"Yes, it is easy to connect to my life",It looks good,It's clear on first sight what this chart conveys ,It makes sense to me ,GlobalWarming-10
380,6,7,4,6,7,7,3,GlobalWarming,11,"Yes, it's easy to retain the fact that all issues are on the rise","Yes, interesting and scary ",It doesn't site any sources ,"Yes, it's horrible to think of the people in countries more affected by this myself","Looks great, very dynamic",It's clear right away what is being represented ,I feel less comfortable as there are no sources sited,GlobalWarming-11
381,6,6,7,7,5,6,5,GlobalWarming,12,"Yes, it's very easy to see and remember that there is a constant steady increase",Interesting and scary,"Yes, it sites its source as NASA ",It affects everyone and my child growing up in it more than it will me,The melting globe feels a little out of place,Very clear to read at first glance,I am comfortable with it ,GlobalWarming-12
382,3,5,2,5,4,1,3,GlobalWarming,1,It's quite confusing as to what is being represented ,it's interesting but not that clear,No sources cited,Yes but it's still confusing,It's ok if a little basic,It's confusing what is being represented over what time,It's confusing,GlobalWarming-1
383,2,5,2,4,2,3,3,GlobalWarming,2,"Not at all, I don't retain anything",It's an interesting subject but I don't know what it' talking about,Not clear and no citation ,I'm confused about what it's showing me,Looks thrown together and I don't like the colours,It's confusing,it's confusing and there are no sources,GlobalWarming-2
384,2,6,6,0,6,5,4,GlobalWarming,12,too many instances to remember well,colourful and unusual,no reason to doubt,I don't see how I can empathise with a chart?,It looks nice,It makes sense,a little too much going on,GlobalWarming-12
385,5,5,6,0,4,6,6,GlobalWarming,7,Slightly prefer this type of chart,Has large spikes,no reason to disbelieve,I don't see how I can empathise with a chart,standard chart,I like this style,I like this type of chart,GlobalWarming-7
386,2,6,6,0,6,2,2,GlobalWarming,8,Not used to this format,quite different,no reason not to believe it,I don't see how I can empathise with a chart,It looks nice,not used to this type,not used to this type,GlobalWarming-8
387,2,7,6,0,7,2,2,GlobalWarming,9,not used to using this style,very colourful,no reason to disbelieve,I don't see how I can empathise with a chart,Looks very nice,not used to this style,not used to this style,GlobalWarming-9
388,6,5,6,0,5,6,6,GlobalWarming,10,simple colour coded,gives a good overview at a glance,no reason not to believe it,I don't see how I can empathise with a chart,easy to see at a glance,easy to see at a glance,Seen this type a lot before,GlobalWarming-10
389,2,6,6,0,7,3,4,GlobalWarming,11,bit too much going on,quite unique,no reason not to believe it,I don't see how I can empathise with a chart,looks colourful and attractive,bit too much going on,need more time to evaluate,GlobalWarming-11
390,2,5,0,2,6,3,4,COVID,11,It has too much information such that difficult to remember everything.,It shows information in different ways.,I cannot estimate the reliability by the given information,The information does not matter to me.,I like the colours in the chart,A little bit difficult to find the information.,I like the colour but there is too much information,COVID-11
391,2,3,4,3,5,6,7,COVID,12,Too much to remember,The information is showed in one chart. Just a normal chart,I cannot estimate it.,I am not concerned about coronavirus,It showed with different colour.,Easily to see every country,It a clear chart,COVID-12
392,7,4,4,6,7,7,7,COVID,1,Really clear and only has two simple charts,Just a normal chart,Cannot judge the reliability,It is unbelievable that such amounts of people died.,The colour looks comfortable. The whole chart is concise and clear,It is very clear.,Everything is good,COVID-1
393,3,3,4,5,3,5,4,COVID,2,Too much information,Normal and somewhat boring chart,I cannot judge the reliability,I hope children can be alive and healthy.,It looks like a little bit boring,Using different colour to show each age group.,Nothing like and nothing dislike,COVID-2
394,2,5,0,2,5,4,4,COVID,3,it is a complex chart,It is an attractive chart,Not sure,I am not concerned about this,It showed with brighten colours ,Not such easily to find the information,Just like the colours but feel tired to see the information,COVID-3
395,6,6,0,4,7,7,7,COVID,4,It is a clear chart and does not contain much information.,I think pie chart is one of the most interesting charts,Cannot judge the reliability by the given information,It does not contain enough information for me to believe it,Good pie chart,Very clear and simple.,Everything looks comfortable,COVID-4
396,7,6,7,7,6,5,7,GlobalWarming,5,The chart is easily remembered given the scattered pink dot on it and just one green line cutting through.,The chat seems interesting because it differs from other types of charts.,"In my opinion, I think the chart fully represent the required information",Yes i can empathize with this chart,The chart looks pleasing.,I think the chart is intuitive.,This chart looks comfortable.,GlobalWarming-5
397,7,6,4,4,1,1,4,GlobalWarming,6,The chart is easily remembered from the way it is partitioned.,The chat seems interesting because it differs from other types of charts.,The chart seems a little dodgy to me.,I can't empathize with this chart because it seems dodgy,The chart isn't pleasing to me because it has poor representation.,i don't consider this chart intuitive,The chart does not make me feel comfortable due to it's graphical representation,GlobalWarming-6
398,7,7,7,6,7,6,7,GlobalWarming,1,The chart is easily remembered given the shape of the chart.,The chat seems interesting due to how the data was represented.,This chart appears trustworthy.,I can empathize with this chart.,This chart is aesthetically pleasing due to the shape and data representation of the chart.,This chart is intuitive,This chart makes me absolutely comfortable.,GlobalWarming-1
399,7,7,7,5,7,5,7,GlobalWarming,2,This chart is easily remembered because it appears to be a standard type of chart.,This chart seems interesting given the pattern of the chart.,This chart seems trustworthy by the way the data is represented.,I can empathize with this chart.,This chart seems pleasing given the color combination used.,The chart looks intuitive,I feel comfortable with this chart ,GlobalWarming-2
400,6,1,1,1,4,4,3,GlobalWarming,3,This chart is easily remembered,This chart doesn't seem interesting.,This chart seems confusing and not trustworthy,I cannot empathize with this chart.,This chart is just in-between,This chart is just in-between,I don't feel comfortable with this chart. ,GlobalWarming-3
401,7,7,7,6,5,6,5,GlobalWarming,4,This chart is easily remebered because it looks like a pie chart,This chart looks interesting,This chart is trustworthy due to the data representation,I can empathize with this chart,This chart is a little bit pleasing.,The chart is intuitive,I feel a little bit comfortable with this this ,GlobalWarming-4
402,6,7,7,7,7,0,7,COVID,2,the colors make it easy to remember,i find it interesting to see how the cases have increased,it appears to have a source for this data,i have known people who have had covid and lost loved ones to it,i like that it is organized into age groups and colors,im not sure,it is easy to understand,COVID-2
403,7,7,7,4,7,0,7,COVID,3,the colors make it memorable,it is interesting to see what parts of the country are getting more vaccinations ,it shows a reputable source at the bottom of the map,i have gotten vaccinated,it is organized and color coded,n/a,i can understand it,COVID-3
404,7,7,2,6,5,0,7,COVID,4,the pie graph with percentages and colors make it memorable,it's interesting to see what countries are affected most,it does not show where it got the data from,i have seen how covid affected people close to me,it is organized ,n/a,it is easy to understand,COVID-4
405,4,7,7,7,1,0,7,COVID,5,it can be memorable because of the increase,it is interesting to see how quickly hospitalizations had increased,it shows the CDC,i know people who have been hospitalized due to covid,i don't like how it is set up or the colors,n/a,i can understand it,COVID-5
406,7,7,4,6,6,0,7,COVID,6,there are four different pie charts ,it is interesting to learn about different information from multiple countries,it shows no source for its data,i have been affected by COVID,i like how it is organized into separate categories and countries ,n/a,i can understand it,COVID-6
407,7,7,4,7,7,0,7,COVID,7,the two simple colors and countries make it memorable,it is interesting to see how the US differs from european union,it shows a source,i have been affected by covid,i like the graph and colors,n/a,it is easy to understand,COVID-7
408,7,5,6,6,7,6,6,HousePrice,9,the chart is bullish so it  can be easily remembered,it shows interesting info,i trust this chart,because its correct info,it looks nice too,shows great info,i  can read the chart comfortably,HousePrice-9
409,4,4,2,2,4,4,5,HousePrice,10,cant be easily remebered,it looks interesting though,i dont fully trust this chart,i cant relate with this chart,it is pleasing to see,doesn't have much info,the chart can be read easily,HousePrice-10
410,7,7,7,7,7,7,7,HousePrice,11,yes it can,it shows good information,i trust this chart,i can relate tot his chart,it has good aesthetics,it looks informative too,i feel comfortable with it,HousePrice-11
411,7,7,7,6,7,6,7,HousePrice,12,can be easily remebered,shows interesting facts,i trust the info on this chart,i can relate with the info on this chart,it looks aesthetically pleasing too,i find intuition easy on this chart,im comfy witht the chart,HousePrice-12
412,7,6,7,5,4,4,5,HousePrice,1,can be remembered easily,shows interesting facts,i trust the info on this chart,i empathize with the info on this chart,it looks pleasing a bit,i find little intuition here,i feel comfortable with this chart,HousePrice-1
413,2,5,5,5,7,5,6,HousePrice,8,cannot be easily remembered,looks interesting,i trust this chart a bit,i can recognize some truths in this chart,the chart looks aesthetically pleasing,i find good intuition in this chart,i am comfortable with this chart,HousePrice-8
414,6,4,6,6,7,5,6,HousePrice,12,"Because its well presented, pretty",I personally dont care about it,"Again, well presented, makes it trustworthy","Yes, i think i can",Pretty,"Yes, cause of the explanations",Yeah it makes sense,HousePrice-12
415,5,3,6,2,2,6,4,HousePrice,1,"It goes up, that i can remember",I dont really care about it sadly,Yeah looks scientific,"I dont really know what you mean with empathize, but i dont think i can here","No, its ugly","Yeah, the higher the year, the higher the value",No strong feelings either way,HousePrice-1
416,1,2,6,3,2,2,2,HousePrice,2,"absolutely no, i cant even tell whats going on easily",Same as above,"Yeah because it looks complicated, so it must be true",Not really,"Ugly, too much black",I cant tell if there is a logic behind the results,Hard to read,HousePrice-2
417,5,3,6,5,5,5,3,HousePrice,3,"Somewhat, only when comparing continents, not countries",Not to me sadly,Yes because it looks complicated,Only a bit,I like the use of colors,Goes along with what youd expect,Not really because there is too much information,HousePrice-3
418,6,3,4,4,7,2,5,HousePrice,10,Yeah its simple,Not to me,"I dont think so, it looks fake somehow",No strong feelings,Yes it looks good,Hard to explain the last drop with no context,"Yeah, i mean, it doesnt disturb me",HousePrice-10
419,6,3,5,6,7,6,7,HousePrice,11,Yes cause its pretty,Not to me,Yeah the madison thingy makes it trustworthy on paper,yeah its good,Georgious (or how you say that lol),Yeah it goes up and up and up,Totally,HousePrice-11
420,1,1,3,2,1,3,2,COVID,9,too complicated,boring,it looks made up to scare people,it doesn't make me feel any how.,contrasting colours,i just don't feel it,it makes me ick,COVID-9
421,1,3,2,0,6,0,5,COVID,10,too much is going on,not good but not bad,looks fake,don't feel any how,colours compliment each other.,it can easily predicted,it is comfortable,COVID-10
422,2,4,5,4,6,4,5,COVID,11,too complicated.,"i see how it can be interesting, but it's just not hitting the way it supposed to.",it can be true,i feel indifferent about it,nice colours,its just ok.,"its nice, i like it",COVID-11
423,1,1,1,1,1,1,1,COVID,12,too complex,boring and a lot is going on,it looks like random data was used.,"no, i hate it",the colour dont elevate each other,it looks fake,it makes me feel ,COVID-12
424,4,2,1,1,2,0,3,COVID,7,it is a little complex to remember,it looks boring,it looks like the us made the chart #bias,"nope, it is made to bring others down while uplifting themselves",boring basic colours,it is not giving,it make me feel uneasy,COVID-7
425,5,4,5,3,6,3,4,COVID,8,it is simple to remember,it can looks interesting if you're bored,it has the potential to be real,i just don't feel anything.,love the colours.,it can  be predicted.,it is uneasy,COVID-8
426,1,6,7,0,7,0,7,COVID,6,"too much information to remember
",the chart is moving so well,"looks good and trustworthy
","no need
",it is indeed pleasing,not at all,it looks good,COVID-6
427,7,6,7,4,7,6,7,COVID,7,the graph is clear,looks good ,cases do go up and down so yes,maybe yes,it is pleasing ,it is intuitive,it is okay,COVID-7
428,1,4,6,4,7,5,7,COVID,8,too much too remember,neither interesting,somewhat trust worthy,no need to,the chart sequence is pleasing,slightly,it is okay,COVID-8
429,1,3,4,0,1,0,4,COVID,9,no,not interestingk,yes,insufficient info,not pleasing,no or less information,no,COVID-9
430,5,7,6,4,7,7,7,COVID,10,slightly,the graph movements are interesting,slightly,no,it is pleasing,yes,very okay with it,COVID-10
431,5,5,7,0,7,0,7,COVID,5,can be slightly remembered,it is interesting,very interesting,no information,the chart movements are pleasing,no information,very comfotable,COVID-5
432,6,6,3,6,6,7,7,GlobalWarming,2,Because of the colored bars.,Because of the colored bars.,I'm not sure no source is indicated.,I think it looks good.,It's comfortable on my eyes.,"In any case, it is easy to remember.","It is very comfortable to watch, no difficulty.",GlobalWarming-2
433,3,6,6,4,3,2,2,GlobalWarming,9,I think this is quite difficult to remember because of the amount of information.,It's interesting because it's not an ordinary chart.,The sources are marked so I can trust them.,Not so much my style.,"Not comfortable, not aesthetic.",Hard to remember.,"Overall, an uncomfortable chart.",GlobalWarming-9
434,3,6,7,4,3,2,3,GlobalWarming,10,There is almost no difference between the colors.,The information we receive is interesting and important to humanity.,"The correct source is indicated, so I find it reliable.",Not the most convenient graph.,I think it's unpleasant to watch.,There are data that are difficult to remember.,Not comfortable overall.,GlobalWarming-10
435,6,6,3,6,6,5,6,GlobalWarming,11,"They look good, it's worth noting.",It provides interesting information.,"I'm not sure, I don't have any sources.",It is comfortable to watch.,It's nice to watch even if it's unpleasant.,The data is easy to remember.,Comfortable overall.,GlobalWarming-11
436,4,6,7,5,6,3,6,GlobalWarming,12,Not easy datas.,This is extremely interesting data.,The source is very convincing.,Nice to see the chart.,Nice to look at.,The data is not easy to remember.,Pleasant overall.,GlobalWarming-12
437,1,6,4,5,2,2,3,GlobalWarming,1,"A lot of data would have to be processed, it cannot be easily memorized.",It is interesting because there is a lot of important information in the picture.,No source of any kind.,It's not the most pleasant thing to see.,It's uncomfortable to watch.,There are data that are difficult to remember.,"Not pleasant overall, a lot of data, unpleasant.",GlobalWarming-1
438,6,6,6,0,6,6,6,COVID,5,due to colors ,you can clearly spot trends,"yes, due to sources of data provided on the chart",unsure what does that even mean in that context,"yes, someone used colour theory","yes, one can see patterns","yes, I can read x and y axis, although why do i need to turn my head to ready y axis...",COVID-5
439,2,2,1,2,2,2,3,COVID,6,"no, too much data at once","no, too much data at once, perhaps one linechart would be better",no source for the data,"not, because I'd do it differently or even not at all if I wouldn't trust the source","no, perspective shows closer items as bigger, so I have to ignore that and go by numbers ","no, perspective shows closer items as bigger, so I have to ignore that and go by numbers ","comfortable because I have seen similar, although I'm against 3d graphs",COVID-6
440,6,6,6,0,6,6,6,COVID,7,"yes, definetly, and I'm also used to statista's charts","yes, because it clearly shows a pattern",I trust statista,I cannot because different countries or areas in this case - EU will have different methodologies and number of tests done,I like simplicity,yes due to different colours used,"yes, esp the icons on the bottom left - informing me its licence, in case I want to republish it",COVID-7
441,6,6,4,1,6,6,1,COVID,2,"yes, but perhaps for the wrong reasons?","yes, made me think for a wee while if it's even valid, because ""cumulative"" anything would be increasing, for example road deaths, but that doesn't show if there is an increasing trend or not per diem","not due to the same reasons as above, I'd def use it in ""how to lie with stats"" book","I can not, I would do it differently","yes, the colours chosen are fine","yes, intuitive",not comfortable,COVID-2
442,5,6,6,6,6,6,6,COVID,3,"yes, a bit a lot of data, but def remembered that west had beeter rates that the east","yes, I haven't seen anything like that, especially given the focus is on rural areas","yes, good source","yes, very well done",yes,"the ""data unavailable"" is a bit hard to see, could be pink or some other colour","yes, as above, all good with the chart",COVID-3
443,5,4,2,2,2,5,2,COVID,4,yes and no,"hard to see info, bad font, chart too small compared to its background","no source, no date and no data nor confidence intervals etc. and how can I trust anything coming out of bloody Iran lol","no, I'd do it differently","bad font, useless 3d, bad choice of colours","yes, I'm used to those sort of circular/pie charts",no due to no date/author/source,COVID-4
444,5,4,0,5,5,0,6,COVID,7,Difference in colors,There is nothing specific that makes it interesting,There is no way i can check if it is trustworthy,It is easy to remember,Difference between colors and overall design is pleasing,There is no way for me to measure it,Easy to understand and read,COVID-7
445,7,6,4,7,7,6,7,COVID,8,Because of the use of shapes and colors it is easy to remember ,Because it explains it in a easy way,It gives where the information is coming but still nothing to make me feel that way,"Because of the way chart is made, i can easily understand and emphasize it",Looks clean,Different way to explain things,"Clear, easy to understand.",COVID-8
446,2,5,5,2,5,4,2,COVID,9,Hard to interpert,Different use of colors makes it more interesting,RElatively thrustworthy because they gave the source for everyone to see.,It is really hard to read and understand,"It looks nice, but at the same time too complicated","Cant really say it is intuitive, saw some designs which were closer to this but at the same time easier to understand","Too complicated, hard to understand and remember",COVID-9
447,6,7,2,6,6,0,5,COVID,4,"Clear explanation, easy to read",Use of different colors and explaining what each color is related to in a clear manner,We cant see any source,clear design and easy to understand,the colors and the overall use of shape makes it good to look at,no way for me to measure it,apart from there is no source overall design makes me feel comfortable while reading and understanding it,COVID-4
448,6,6,5,5,7,0,6,COVID,5,overall message of the chart is easy to understand,the use of different colors makes it easy,they are giving the source and even explaining it why the data might be different,"because of the color scheme, and clear explanations i can emphasize",overall design is eyecatching,i dont have anything to measure it with,"overall easy to understand, clear explanations and eyecatching design makes me feel comfortable with it",COVID-5
449,2,6,2,2,3,0,2,COVID,6,too complicated,"no its not, the way the colors are used makes it hard to remember",no because they didnt provide a source,its hard to understand what it tries to tell,too complicated and using different colors are too much,cant really measure it,i cant really understand ,COVID-6
450,3,6,2,4,7,4,6,GlobalWarming,2,The chart has a lot of figures and graphics. This can make it hard to remember it vividly.,The colours and the presentetion makes it interesting.,There is no source to show where was the data obtained.,The chart does not illustrate something that is emotional to empathze with.,The colour combination is pleasing.,No intuition is associated with the chart.,The chart looks well detailed and has good presentation.,GlobalWarming-2
451,1,6,0,4,6,0,7,GlobalWarming,3,The chart has too much information.,There is a trend illustrated by the lines.,I do not know where it was obtained.,No emtions are associated.,The colours are beutiful,No enough information.,It is easy to read.,GlobalWarming-3
452,6,7,4,4,7,0,7,GlobalWarming,4,There is not a lot of information to grasp.,Easy too read and inforrmative.,No reliable source mentioned.,No emotions are associated.,It is colourful.,Not enough information,It is easy to read.,GlobalWarming-4
453,1,6,4,4,7,4,6,GlobalWarming,5,Too mant data(dots).,There is a line of trend.,No source mentioned,No feelings associated,The colour combination is pleasing.,It is easy to see the trend of the temperatures over time.,Easy to comprehend.,GlobalWarming-5
454,1,4,4,4,2,0,6,GlobalWarming,6,Too much information.,It looks challenging to comprehend.,No reliable source mentioned.,No feelings involved.,Too light and too dark colour combination is not pleasing.,No enough information.,It looks reliable and informative,GlobalWarming-6
455,1,6,4,4,6,6,6,GlobalWarming,1,There is a lot of graphical content and colour variation., I felt more eager to study it.,No source of data mentioned.,No emotions mentioned.,The colour difference is interesting.,You can guess on what the colours mean.,Looks easy to read.,GlobalWarming-1
456,5,5,6,4,6,5,5,GlobalWarming,3,The graph line are clear to remember,Easy to differentiate,Coloring is perfect for trust,I can spot the differences,Good coloring to give perfect illustration ,Correct,Definitely,GlobalWarming-3
457,7,6,7,6,7,7,7,GlobalWarming,4,The writing is spacious to read,Proper coloring to differentiate,Real life issue been explained ,Visible,Definitely,Sure,Apparently ,GlobalWarming-4
458,6,6,6,6,5,6,7,GlobalWarming,11,Proper way to differentiate,Crystal,Definitely,Great idea with this data,Fine designing ,Yes,Definitely,GlobalWarming-11
459,3,4,5,6,2,5,4,GlobalWarming,12,Curves is not properly done ,Not really,Pretty much,I have knowledge in graph plotting,Not really,Good,To an extent,GlobalWarming-12
460,4,5,5,6,4,4,5,GlobalWarming,1,It has huge range to understand,Different color been used,With data available,Yes ,Clear,In between ,To an extent,GlobalWarming-1
461,3,4,4,2,5,4,3,GlobalWarming,2,Much examples to differentiate from,The graph is not spell out properly,Mixing them about,Too much to understand ,Not pleasing,None,Kind of complex,GlobalWarming-2
462,2,5,4,0,5,0,5,HousePrice,7,The chart has complex information therefore it can not be easily remembered ,The chart shares some interesting information therefore I consider it interesting ,I'm not sure whether the information is accurate or not therefore I'm neutral about it,Not enough info for me to empathise with the chart,The color theme on the chart is aesthetically pleasing ,Not enough info for me see intuition ,I like the chart overall,HousePrice-7
